REFERENCE	 DEGRADED	 PESQMOS	 MOSLQO	 SAMPLE_FREQ	 MODE
/home/sah/Robustness_files/source1_raw16.raw	 /home/sah/Robustness_files/original_final_16bit.raw	 1.516	 1.333	 8000	nb
/home/sah/Robustness_files/source1_raw16.raw	 /home/sah/Robustness_files/original_final_16bit.raw	 1.516	 1.333	 8000	nb
/home/sah/Robustness_files/original_final.raw	 /home/sah/Robustness_files/final_out.raw	 1.617	 1.382	 8000	nb
/home/sah/Robustness_files/original_final.raw	 /home/sah/Robustness_files/final_out.raw	 1.722	 1.440	 8000	nb
/home/sah/Robustness_files/original_final.raw	 /home/sah/Robustness_files/final_out.raw	 2.731	 2.435	 8000	nb
/home/sah/Robustness_files/original_final.raw	 /home/sah/Robustness_files/final_out.raw	 1.492	 1.322	 8000	nb
/home/sah/Robustness_files/source1_raw16.raw	 /home/sah/Robustness_files/original_final_16bit.raw	 1.767	 1.468	 8000	nb
/home/sah/Robustness_files/original_final.raw	 /home/sah/Robustness_files/final_out.raw	 1.492	 1.322	 8000	nb
/home/sah/Robustness_files/source1_raw16.raw	 /home/sah/Robustness_files/original_final_16bit.raw	 1.768	 1.468	 8000	nb
/home/sah/Robustness_files/original_final.raw	 /home/sah/Robustness_files/final_out.raw	 0.949	 1.149	 8000	nb
/home/sah/Robustness_files/original_final.raw	 /home/sah/Robustness_files/final_out.raw	 0.740	 1.110	 8000	nb
/home/sah/Robustness_files/original_final.raw	 /home/sah/Robustness_files/final_out.raw	 0.657	 1.097	 8000	nb
/home/sah/Robustness_files/original_final.raw	 /home/sah/Robustness_files/final_out.raw	 1.014	 1.164	 8000	nb
/home/sah/Robustness_files/original_final.raw	 /home/sah/Robustness_files/final_out.raw	 1.088	 1.183	 8000	nb
/home/sah/Robustness_files/original_final.raw	 /home/sah/Robustness_files/final_out.raw	 1.063	 1.176	 8000	nb
/home/sah/Robustness_files/original_final.raw	 /home/sah/Robustness_files/final_out.raw	 0.991	 1.159	 8000	nb
/home/sah/Robustness_files/original_final.raw	 /home/sah/Robustness_files/final_out.raw	 2.003	 1.634	 8000	nb
/home/sah/Robustness_files/original_final.raw	 /home/sah/Robustness_files/final_out.raw	 1.940	 1.586	 8000	nb
/home/sah/Robustness_files/original_final.raw	 /home/sah/Robustness_files/final_out.raw	 1.853	 1.523	 8000	nb
/home/sah/Robustness_files/original_final.raw	 /home/sah/Robustness_files/final_out.raw	 1.800	 1.489	 8000	nb
/home/sah/Robustness_files/original_final.raw	 /home/sah/Robustness_files/final_out.raw	 1.033	 1.169	 8000	nb
/home/sah/Robustness_files/original_final.raw	 /home/sah/Robustness_files/final_out.raw	 0.242	 1.053	 8000	nb
/home/sah/Robustness_files/original_final.raw	 /home/sah/Robustness_files/final_out.raw	 1.290	 1.243	 8000	nb
/home/sah/Robustness_files/original_final.raw	 /home/sah/Robustness_files/final_out.raw	 1.203	 1.215	 8000	nb
/home/sah/Robustness_files/source1_raw16.raw	 /home/sah/Robustness_files/original_final_16bit.raw	 1.629	 1.389	 8000	nb
/home/sah/Robustness_files/original_final.raw	 /home/sah/Robustness_files/final_out.raw	 1.140	 1.197	 8000	nb
/home/sah/Robustness_files/original_final.raw	 /home/sah/Robustness_files/final_out.raw	 0.513	 1.079	 8000	nb
/home/sah/Robustness_files/original_final.raw	 /home/sah/Robustness_files/final_out.raw	 1.191	 1.211	 8000	nb
/home/sah/Robustness_files/original_final.raw	 /home/sah/Robustness_files/final_out.raw	 1.896	 1.553	 8000	nb
/home/sah/Robustness_files/original_final.raw	 /home/sah/Robustness_files/final_out.raw	 2.523	 2.164	 8000	nb
/home/sah/Robustness_files/original_final.raw	 /home/sah/Robustness_files/final_out.raw	 1.059	 1.175	 8000	nb
/home/sah/Robustness_files/original_final.raw	 /home/sah/Robustness_files/final_out.raw	 2.795	 2.525	 8000	nb
/home/sah/Robustness_files/source1_raw16.raw	 /home/sah/Robustness_files/original_final_16bit.raw	 1.590	 1.369	 8000	nb
/home/sah/Robustness_files/source1_raw16.raw	 /home/sah/Robustness_files/original_final_16bit.raw	 1.590	 1.369	 8000	nb
/home/sah/Robustness_files/original_final.raw	 /home/sah/Robustness_files/final_out.raw	 3.498	 3.552	 8000	nb
/home/sah/Robustness_files/original_final.raw	 /home/sah/Robustness_files/final_out.raw	 3.993	 4.147	 8000	nb
/home/sah/Robustness_files/original_final.raw	 /home/sah/Robustness_files/final_out.raw	 4.070	 4.222	 8000	nb
